name,value,area,age,distance,bath_toilet_separated,autolock
ＪＲ中央線 荻窪駅 4階建 築3年,7.8,19.55,3,6,1,1
ＪＲ総武線 荻窪駅 5階建 築36年,7.9,26.6,36,3,1,0
ＰＡＳＥＯ荻窪 101号室,10.1,25.27,1,10,1,1
ＪＲ中央線 荻窪駅 3階建 築40年,4.5,12.11,40,7,0,0
ＪＲ総武線 荻窪駅 2階建 築45年,8.0,24.76,45,5,1,0
La Perla Ogikubo,8.0,21.25,3,6,1,1
ＰＡＳＥＯ荻窪 303号室,10.4,25.31,1,10,1,1
ＪＲ中央線 荻窪駅 4階建 新築,10.1,25.27,0,10,1,1
ベルユニット荻窪 201号室,5.0,14.0,27,14,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築35年,7.0,25.0,35,20,1,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築2年,7.3,20.58,2,14,1,0
アイオン西荻窪,8.1,19.13,2,24,1,1
ＰＡＳＥＯ荻窪 201号室,10.4,25.27,1,10,1,1
ＪＲ中央線 荻窪駅 4階建 新築,10.2,25.7,0,9,1,1
ライフピア・リヴェール,4.9,10.57,12,13,0,1
ＪＲ中央線 荻窪駅 2階建 築34年,5.0,16.5,34,12,0,0
ＪＲ総武線 荻窪駅 5階建 築35年,5.7,16.1,35,1,0,0
DC阿佐ヶ谷,7.3,20.58,2,14,1,0
ＪＲ中央線 西荻窪駅 地下1地上3階建 築29年,6.9,20.83,29,22,0,1
ＪＲ中央線 荻窪駅 4階建 新築,10.1,25.31,0,10,1,1
コンフォートテラス荻窪,5.8,12.64,5,12,1,1
ＪＲ中央線 荻窪駅 4階建 新築,10.5,25.27,0,10,1,1
